questionnaire,id,question,context,answers,type
5,73905688-90d8-46cb-a718-522e1fb6b690,What is the average size of your trade fair team?,"Our trade fair team usually consists of between 21 and 30 members. This larger team is necessary to effectively manage our substantial booth presence at major international trade shows, allowing us to provide comprehensive product demonstrations and personalized attention to a large number of visitors.","[{'text': ['21 and 30'], 'answer_start': [48]}]",SINGLE_SELECT
5,c8d82b96-9704-4cae-ae30-c705f60e26e3,What is the average size of your trade fair team?,"Our trade show presence typically involves a team of between 31 and 40 people.  This larger team is essential for managing a complex and extensive exhibition space, ensuring smooth operations, and providing comprehensive support to the high volume of visitors we usually attract at major industry events.","[{'text': ['31 and 40'], 'answer_start': [61]}]",SINGLE_SELECT
5,632eeb14-e201-492d-b374-34b0935ee56f,What is the average size of your trade fair team?,"Our trade fair team usually numbers more than 40 people.  This large team is necessary to manage our extensive exhibition space, handle the high volume of visitors we typically receive at major international shows, and provide a wide range of services from product demonstrations to hospitality.  It requires significant logistical planning.","[{'text': ['more than 40'], 'answer_start': [36]}]",SINGLE_SELECT
5,8e8fc562-6a2c-4692-8ae5-2a52da4cb9fc,What CRM system do you use?,We currently use Salesforce as our CRM system. We find its comprehensive features and scalability well-suited to managing our customer relationships and sales pipeline effectively.  Its reporting tools are also very beneficial for our business analysis.,"[{'text': ['Salesforce'], 'answer_start': [17]}]",SINGLE_SELECT
5,b3edff55-9e0b-4b07-b303-94749f174e24,What CRM system do you use?,Our company utilizes Pipedrive as our CRM system. We find its user-friendly interface and intuitive features make it efficient for managing leads and tracking sales progress.  The visual sales pipeline is particularly helpful for our team.,"[{'text': ['Pipedrive'], 'answer_start': [21]}]",SINGLE_SELECT
5,f2e6d399-0e54-4406-a734-b93139cd137a,What CRM system do you use?,We use Close.io as our CRM. We appreciate its focus on sales engagement and find its features for managing calls and emails particularly useful for our team. The streamlined interface helps us maintain efficiency in our daily sales operations.,"[{'text': ['Close.io'], 'answer_start': [7]}]",SINGLE_SELECT
5,f34de2d0-b4c4-4e1f-9afc-79b60b3648af,What CRM system do you use?,We use Microsoft Dynamics as our CRM system.  Its robust features and integration with other Microsoft products make it a valuable tool for managing our customer data and sales processes.  We find its scalability particularly beneficial for our growing business.,"[{'text': ['Microsoft Dynamics'], 'answer_start': [7]}]",SINGLE_SELECT
5,026c6bf5-1a5f-429d-bb0f-256b9250f465,What CRM system do you use?,"We utilize HubSpot as our CRM system.  We appreciate its all-in-one approach, combining CRM functionality with marketing automation and sales tools. This integrated system allows for streamlined workflows and improved team collaboration across different departments.","[{'text': ['HubSpot'], 'answer_start': [11]}]",SINGLE_SELECT
5,db2c8b3a-bcbb-44a6-af55-0a1de3e157f4,What CRM system do you use?,"Our company uses CAS as our CRM. We find its features well-suited to our specific industry needs and appreciate its robust reporting capabilities.  It's been a valuable tool for managing our customer relationships.
","[{'text': ['CAS'], 'answer_start': [17]}]",SINGLE_SELECT
5,8a6e75ed-a4e5-4d69-925f-48c3583c17a7,What CRM system do you use?,We use SAP Sales Cloud as our CRM system.  Its integration with our existing SAP ecosystem makes it a seamless part of our overall business operations.  We find its advanced analytics and reporting features particularly valuable for strategic decision-making.,"[{'text': ['SAP Sales Cloud'], 'answer_start': [7]}]",SINGLE_SELECT
5,fe6aed13-8a56-465c-a1cb-1021aa14411a,What CRM system do you use?,"We're currently using Adito as our CRM system. We chose it for its strong focus on project management which have significantly improved our workflow efficiency.  It's been a valuable asset for our team.
","[{'text': ['Adito'], 'answer_start': [22]}]",SINGLE_SELECT
5,ea26e309-e43d-4eba-be81-45a8d00cbc8f,What are your product interests?,"We are primarily interested in your Data Enrichment and Data Cleansing services.  Improving the quality of our data is a high priority, and we believe your solutions can significantly help us achieve that goal.  We've also reviewed your BusinessCards offering and believe it could be beneficial for our sales team.","[{'text': ['Data Enrichment', 'Data Cleansing', 'BusinessCards'], 'answer_start': [36, 56, 237]}]",MULTI_SELECT
5,1f03086d-6f6b-4d45-88b2-294fc4c4e201,What are your product interests?,"Our main interest lies in your Data Cleansing and Data Enrichment capabilities.  Accurate and complete data is crucial for our operations, and we're eager to learn more about how your solutions can improve our data quality.  The VisitReport feature also looks promising for streamlining our sales processes.","[{'text': ['Data Enrichment', 'Data Cleansing', 'VisitReport'], 'answer_start': [50, 31, 229]}]",MULTI_SELECT
5,d6b79f06-30ff-46b3-878f-6b2943df16e1,What are your product interests?,"We are particularly interested in your VisitReport product.  Streamlining our reporting processes is a key objective, and this solution seems well-suited to meet that need. We are also keen to explore your Data Cleansing and Data Quality offerings to ensure the accuracy of the information we're working with.","[{'text': ['VisitReport', 'Data Cleansing', 'Data Quality'], 'answer_start': [39, 206, 225]}]",MULTI_SELECT
5,5b9779a4-f73a-40b3-8728-e929f7314211,What are your product interests?,"Improving data quality is a top priority, so we're very interested in your Data Cleansing and DataQuality solutions.  We're looking for ways to improve the accuracy and completeness of our data sets, and believe your offerings could significantly contribute to that goal. We would appreciate more information on your pricing and implementation processes.","[{'text': ['Data Cleansing', 'DataQuality'], 'answer_start': [75, 94]}]",MULTI_SELECT
5,c563a8c7-9cfa-48ca-b553-75cb30c3e8de,What are your product interests?,"We are very interested in your DataQuality offerings.  Maintaining high data quality is crucial for our business, and we're exploring various solutions to improve accuracy and consistency across our datasets. We’d appreciate further information on how your product can help us achieve this.","[{'text': ['DataQuality'], 'answer_start': [31]}]",MULTI_SELECT
5,938ec9af-8740-4642-a624-bc751175908d,What problem are you looking to solve?,"We're primarily looking to improve CRM data quality.  Inaccurate or incomplete data hampers our sales and marketing efforts, leading to inefficiencies. We're also interested in solutions that help us efficiently capture trade fair contacts to streamline our lead generation process.","[{'text': ['improve CRM data quality', 'capture trade fair contacts'], 'answer_start': [27, 212]}]",MULTI_SELECT
5,649864a5-d348-40d1-9133-67e48ee4b2c7,What problem are you looking to solve?,"Our main problem is improving CRM data quality.  Inconsistent and incomplete data makes it difficult to track leads effectively and hinders our sales efforts. We also need a better way to capture trade fair contacts, as our current manual process is time-consuming and prone to errors.  Efficient data extraction from emails would also be beneficial.","[{'text': ['improving CRM data quality', 'capture trade fair contacts', 'data extraction from emails'], 'answer_start': [20, 188, 297]}]",MULTI_SELECT
5,dafba3a0-9c09-4ad3-95fe-d78645fe2639,What problem are you looking to solve?,We need to improve CRM data quality and find a more efficient way to capture trade fair contacts. Our current processes are inefficient and prone to errors. Automating data extraction from emails would also significantly reduce manual workload and improve our overall data management.,"[{'text': ['improve CRM data quality', 'capture trade fair contacts'], 'answer_start': [11, 69]}]",MULTI_SELECT
5,ffe96cfc-788c-4993-baa6-026edc01585b,What problem are you looking to solve?,"We're looking to improve the quality of our CRM data and develop a more efficient system for capturing trade fair contacts.  Inaccurate data leads to missed opportunities, and our current manual process for collecting contact information at trade shows is time-consuming and inefficient.","[{'text': ['capturing trade fair contacts'], 'answer_start': [93]}]",MULTI_SELECT
5,e399f29b-0233-4939-ab09-9c08bd09150c,What problem are you looking to solve?,"Our primary concern is efficiently capturing trade fair contacts.  Our current methods are slow and prone to errors, leading to lost leads and wasted time. We need a solution that allows us to collect and manage contact information quickly and accurately during trade shows.","[{'text': ['capturing trade fair contacts'], 'answer_start': [35]}]",MULTI_SELECT
5,603910cb-2c4c-4911-9f9b-c85ada7ccb99,What are the next steps?,"The next step would be for us to receive a formal offer outlining your proposed solution, pricing, and implementation timeline.  This will allow us to thoroughly evaluate your proposal and determine its suitability for our needs.","[{'text': ['offer'], 'answer_start': [50]}]",SINGLE_SELECT
5,b46d3f53-bcd5-4b81-976d-4f4a27d1a7b3,What are the next steps?,The next step would be to schedule a meeting to discuss our requirements in more detail and explore how your solutions can best address our needs.  This meeting will allow us to ask clarifying questions and better understand your capabilities.,"[{'text': ['meeting'], 'answer_start': [37]}]",SINGLE_SELECT
5,a42139dc-ccf6-4a95-85ef-9b0b6035e60a,What are the next steps?,We'd like to schedule a call to discuss our needs in more detail and get a better understanding of how your solutions can help us. This initial call will allow us to ask clarifying questions and determine if your offerings are a good fit for our organization.,"[{'text': ['call'], 'answer_start': [24]}]",SINGLE_SELECT
